row,reason
4256,'int' object has no attribute 'strip'
4257,'int' object has no attribute 'strip'
4258,'int' object has no attribute 'strip'
4259,'int' object has no attribute 'strip'
4260,'int' object has no attribute 'strip'
4261,'int' object has no attribute 'strip'
4262,'int' object has no attribute 'strip'
4263,'int' object has no attribute 'strip'
4264,'int' object has no attribute 'strip'
4265,'int' object has no attribute 'strip'
4266,'int' object has no attribute 'strip'
4267,'int' object has no attribute 'strip'
4268,'int' object has no attribute 'strip'
4269,'int' object has no attribute 'strip'
4270,'int' object has no attribute 'strip'
4271,'int' object has no attribute 'strip'
4272,'int' object has no attribute 'strip'
4273,'int' object has no attribute 'strip'
4274,'int' object has no attribute 'strip'
4275,'int' object has no attribute 'strip'
4276,'int' object has no attribute 'strip'
4277,'int' object has no attribute 'strip'
4278,'int' object has no attribute 'strip'
4279,'int' object has no attribute 'strip'
4280,'int' object has no attribute 'strip'
4281,'int' object has no attribute 'strip'
4282,'int' object has no attribute 'strip'
4283,'int' object has no attribute 'strip'
4284,'int' object has no attribute 'strip'
4285,'int' object has no attribute 'strip'
4286,'int' object has no attribute 'strip'
4287,'int' object has no attribute 'strip'
4288,'int' object has no attribute 'strip'
4289,'int' object has no attribute 'strip'
4290,'int' object has no attribute 'strip'
4291,'int' object has no attribute 'strip'
4292,'int' object has no attribute 'strip'
4293,'int' object has no attribute 'strip'
4294,'int' object has no attribute 'strip'
4295,'int' object has no attribute 'strip'
4296,'int' object has no attribute 'strip'
4297,'int' object has no attribute 'strip'
4298,'int' object has no attribute 'strip'
4299,'int' object has no attribute 'strip'
4300,'int' object has no attribute 'strip'
4301,'int' object has no attribute 'strip'
4302,'int' object has no attribute 'strip'
4303,'int' object has no attribute 'strip'
4304,'int' object has no attribute 'strip'
4305,'int' object has no attribute 'strip'
4306,'int' object has no attribute 'strip'
4307,'int' object has no attribute 'strip'
4308,'int' object has no attribute 'strip'
4309,'int' object has no attribute 'strip'
4310,'int' object has no attribute 'strip'
4311,'int' object has no attribute 'strip'
4312,'int' object has no attribute 'strip'
4313,'int' object has no attribute 'strip'
4314,'int' object has no attribute 'strip'
4315,'int' object has no attribute 'strip'
4316,'int' object has no attribute 'strip'
4317,'int' object has no attribute 'strip'
4319,'int' object has no attribute 'strip'
4321,'int' object has no attribute 'strip'
4322,'int' object has no attribute 'strip'
4323,'int' object has no attribute 'strip'
4324,'int' object has no attribute 'strip'
4325,'int' object has no attribute 'strip'
4326,'int' object has no attribute 'strip'
4327,'int' object has no attribute 'strip'
4328,'int' object has no attribute 'strip'
4329,'int' object has no attribute 'strip'
4330,'int' object has no attribute 'strip'
4331,'int' object has no attribute 'strip'
4332,'int' object has no attribute 'strip'
4333,'int' object has no attribute 'strip'
4334,'int' object has no attribute 'strip'
4335,'int' object has no attribute 'strip'
4336,'int' object has no attribute 'strip'
4337,'int' object has no attribute 'strip'
4338,'int' object has no attribute 'strip'
4342,'int' object has no attribute 'strip'
4343,'int' object has no attribute 'strip'
4344,'int' object has no attribute 'strip'
4345,'int' object has no attribute 'strip'
4347,'int' object has no attribute 'strip'
4348,'int' object has no attribute 'strip'
4349,'int' object has no attribute 'strip'
4350,'int' object has no attribute 'strip'
4351,'int' object has no attribute 'strip'
4352,'int' object has no attribute 'strip'
4353,'int' object has no attribute 'strip'
4354,'int' object has no attribute 'strip'
4355,'int' object has no attribute 'strip'
4356,'int' object has no attribute 'strip'
4357,'int' object has no attribute 'strip'
4358,'int' object has no attribute 'strip'
4359,'int' object has no attribute 'strip'
