row,reason
667,missing base/program/year
668,missing base/program/year
669,missing base/program/year
670,missing base/program/year
671,missing base/program/year
672,missing base/program/year
673,missing base/program/year
674,missing base/program/year
675,missing base/program/year
676,missing base/program/year
677,missing base/program/year
678,missing base/program/year
679,missing base/program/year
680,missing base/program/year
681,missing base/program/year
682,missing base/program/year
683,missing base/program/year
684,missing base/program/year
685,missing base/program/year
686,missing base/program/year
687,missing base/program/year
688,missing base/program/year
689,missing base/program/year
690,missing base/program/year
691,missing base/program/year
692,missing base/program/year
693,missing base/program/year
694,missing base/program/year
695,missing base/program/year
696,missing base/program/year
697,missing base/program/year
698,missing base/program/year
699,missing base/program/year
700,missing base/program/year
701,missing base/program/year
702,missing base/program/year
703,missing base/program/year
704,missing base/program/year
705,missing base/program/year
706,missing base/program/year
707,missing base/program/year
708,missing base/program/year
709,missing base/program/year
710,missing base/program/year
711,missing base/program/year
712,missing base/program/year
713,missing base/program/year
714,missing base/program/year
715,missing base/program/year
716,missing base/program/year
717,missing base/program/year
718,missing base/program/year
719,missing base/program/year
720,missing base/program/year
721,missing base/program/year
722,missing base/program/year
723,missing base/program/year
724,missing base/program/year
725,missing base/program/year
726,missing base/program/year
727,missing base/program/year
728,missing base/program/year
729,missing base/program/year
730,missing base/program/year
731,missing base/program/year
732,missing base/program/year
733,missing base/program/year
734,missing base/program/year
735,missing base/program/year
736,missing base/program/year
737,missing base/program/year
738,missing base/program/year
739,missing base/program/year
740,missing base/program/year
741,missing base/program/year
742,missing base/program/year
743,missing base/program/year
744,missing base/program/year
745,missing base/program/year
746,missing base/program/year
747,missing base/program/year
748,missing base/program/year
749,missing base/program/year
750,missing base/program/year
751,missing base/program/year
752,missing base/program/year
753,missing base/program/year
754,missing base/program/year
755,missing base/program/year
756,missing base/program/year
757,missing base/program/year
758,missing base/program/year
759,missing base/program/year
760,missing base/program/year
761,missing base/program/year
762,missing base/program/year
763,missing base/program/year
764,missing base/program/year
765,missing base/program/year
766,missing base/program/year
767,missing base/program/year
768,missing base/program/year
769,missing base/program/year
770,missing base/program/year
771,missing base/program/year
772,missing base/program/year
773,missing base/program/year
774,missing base/program/year
775,missing base/program/year
776,missing base/program/year
777,missing base/program/year
778,missing base/program/year
779,missing base/program/year
780,missing base/program/year
781,missing base/program/year
782,missing base/program/year
783,missing base/program/year
784,missing base/program/year
